login,n,name,blog
0solarfox0,2,NA,
a-rosenberg,1,NA,NA
a2800276,1,Tim Becker,NA
Abinashbunty,1,Abinash Satapathy,https://www.abinash.nl/
adam-gruer,1,Adam Gruer,adamgruer.rbind.io
adidoit,1,adi pradhan,http://adidoit.github.io
Adrianzo,1,A. s.,NA
aephidayatuloh,1,Aep Hidyatuloh,NA
agila5,1,Andrea Gilardi,NA
ajay-d,1,Ajay Deonarine,http://deonarine.com/
AlanFeder,1,NA,NA
alberto-agudo,9,NA,NA
AlbertRapp,1,NA,NA
aleloi,1,NA,NA
alonzi,1,pete,NA
ALShum,1,Alex,www.ALShum.com
amacfarland,1,Andrew M.,NA
andland,1,Andrew Landgraf,http://andrewlandgraf.com
andyhuynh92,1,NA,NA
angela-li,1,Angela Li,NA
aquarhead,1,LOU Xun,https://aqd.is
ariespirgel,2,NA,https://arie.rbind.io
august-18,1,NA,NA
aviast,1,Michael Henry,NA
azzaea,1,Azza Ahmed,https://azzaea.netlify.com/
bambooforest,1,Steven Moran,https://scholar.google.com/citations?user=PpTOh08AAAAJ&hl=en
BarkleyBG,1,Brian G. Barkley,BarkleyBG.netlify.com
batpigandme,5,Mara Averick,https://twitter.com/dataandme
BB1464,1,Oluwafemi OYEDELE,statisticalinference.netlify.app
bbrewington,1,Brent Brewington,NA
beatrizmilz,1,Beatriz Milz,https://beamilz.com
behrman,29,Bill Behrman,NA
benherbertson,3,Ben Herbertson,NA
benmarwick,2,Ben Marwick,http://faculty.washington.edu/bmarwick/
bensteinberg,4,Ben Steinberg,NA
bentyeh,1,Benjamin Yeh,https://bentyeh.github.io
betulturkoglu,1,Betul Turkoglu,NA
bgreenwell,9,Brandon Greenwell,NA
BinxiePeterson,1,Bianca Peterson,NA
BirgerNi,1,Birger Niklas,NA
boardtc,1,NA,NA
c-hoh,1,Christian,hohenfeld.is
caddycarine,1,Caddy,NA
camillevleonard,1,Camille V Leonard,https://www.camillevleonard.com/
canovasjm,1,NA,NA
capnrefsmmat,1,Alex Reinhart,https://www.refsmmat.com
cedricbatailler,1,Cedric Batailler,cedricbatailler.me
christina-wei,1,Christina Wei,NA
chrmongeau,1,Christian Mongeau,http://mongeau.net
coopermor,2,Cooper Morris,NA
csgillespie,7,Colin Gillespie,http://www.mas.ncl.ac.uk/~ncsg3/
csrvermaak,7,Rademeyer Vermaak,NA
cthierst,1,Chloe Thierstein,NA
ctsa,1,Chris Saunders,http://www.linkedin.com/in/christophertsaunders
curious-abhinav,1,Abhinav Singh,https://curious-abhinav.github.io
curtisalexander,1,Curtis Alexander,https://www.calex.org
cwarden,2,Christian G. Warden,http://xn.pinkhamster.net/
cwickham,1,Charlotte Wickham,http://cwick.co.nz
daniel-stafford,1,Daniel Stafford,
darrkj,1,Kenny Darrell,http://darrkj.github.io/blogs
davidkane9,5,David Kane,www.davidkane.info
davidrsch,9,David,NA
davidrubinger,1,David Rubinger,NA
DDClark,1,David Clark,NA
derwinmcgeary,1,Derwin McGeary,http://derwinmcgeary.github.io
dgromer,2,Daniel Gromer,NA
Divider85,3,NA,NA
djbirke,1,NA,NA
djnavarro,1,Danielle Navarro,https://djnavarro.net
dlaehnemann,1,David Laehnemann,
DOH-RPS1303,1,Russell Shean,NA
dpastoor,2,Devin Pastoor,NA
DSGeoff,1,NA,NA
dthakkar09,1,Devarshi Thakkar,NA
duju211,13,Julian During,NA
dylancashman,1,Dylan Cashman,https://www.eecs.tufts.edu/~dcashm01/
e-linc,1,NA,
eddelbuettel,1,Dirk Eddelbuettel,http://dirk.eddelbuettel.com
EdwinTh,4,Edwin Thoen,thats-so-random.com
elgabbas,1,Ahmed El-Gabbas,https://elgabbas.github.io
ercan7,1,Ercan Karadas,NA
EricKit,1,Eric Kitaif,NA
ericwatt,1,Eric Watt,www.ericdwatt.com
erikerhardt,2,Erik Erhardt,StatAcumen.com
etiennebr,2,Etienne B. Racine,NA
evjrob,1,Everett Robinson,NA
fellennert,1,NA,NA
fileds,1,Filip Edström,
flemmingmiguel,1,Flemming Miguel,NA
florisvdh,7,Floris Vanderhaeghe,NA
funkybluehen,1,NA,NA
gabrivera,2,NA,NA
gadenbuie,1,Garrick Aden-Buie,https://garrickadenbuie.com
ganong123,1,Peter Ganong,voices.uchicago.edu/ganong
garrettgman,103,Garrett Grolemund,NA
GeroVanMi,1,Gerome Meyer,https://astralibra.ch
gl-eb,1,Gleb Ebert,glebsite.ch
GoldbergData,1,Josh Goldberg,https://twitter.com/GoldbergData
granieri,1,Max Ranieri,
gridgrad,1,bahadir cankardes,NA
gustavdelius,2,Gustav W Delius,NA
hadley,1176,Hadley Wickham,http://hadley.nz
hao-trivago,2,Hao Chen,NA
harrismcgehee,7,Harris McGehee,https://gist.github.com/harrismcgehee
hbeale,1,NA,
hendrikweisser,1,NA,NA
hengnicai,1,Hengni Cai,NA
Iain-S,1,Iain,NA
iansealy,3,Ian Sealy,NA
ijlyttle,3,Ian Lyttle,NA
ivan-krukov,1,Ivan Krukov,NA
jacobkap,1,Jacob Kaplan,http://crimedatatool.com/
jazzlw,1,Jazz Weisman,NA
jdblischak,1,John Blischak,https://jdblischak.com/
jdstorey,1,John D. Storey,http://jdstorey.github.io/
jefferis,1,Gregory Jefferis,http://www2.mrc-lmb.cam.ac.uk/group-leaders/h-to-m/gregory-jefferis/
JeffreyRStevens,2,Jeffrey Stevens,https://decisionslab.unl.edu/
JeldorPKU,1,蒋雨蒙,https://jeldorpku.github.io
jennybc,5,Jennifer (Jenny) Bryan,https://jennybryan.org
jenren,1,Jen Ren,NA
jeroenjanssens,1,Jeroen Janssens,http://jeroenjanssens.com
jeromecholewa,1,NA,NA
jimhester,2,Jim Hester,http://www.jimhester.com
jjchern,6,JJ Chen,NA
jkolacz,1,Jacek Kolacz,NA
joannejang,2,Joanne Jang,joannejang.com
johannes4998,1,NA,NA
johnsears,1,John Sears,NA
jonathanflint,1,NA,NA
JonathanNankivell,1,NA,
jonmcalder,1,Jon Calder,http://joncalder.co.za
jonpage,3,Jonathan Page,economistry.com
jonthegeek,1,Jon Harmon,http://jonthegeek.com
jooyoungseo,2,JooYoung Seo,https://jooyoungseo.github.io
jpetuchovas,1,Justinas Petuchovas,NA
jrdnbradford,1,Jordan,www.linkedin.com/in/jrdnbradford
jrnold,4,Jeffrey Arnold,http://jrnold.me
jroberayalas,7,Jose Roberto Ayala Solares,jroberayalas.netlify.com
jtr13,1,Joyce Robbins,NA
juandering,1,NA,NA
jules32,1,Julia Stewart Lowndes,http://jules32.github.io
JustinianOfByzantium,1,NA,
kaetschap,1,Sonja,NA
karawoo,1,Kara Woo,http://karawoo.com
katrinleinweber,1,Katrin Leinweber,NA
kdpsingh,5,Karandeep Singh,http://umich.edu/~kdpsingh
kevinxperese,5,Kevin Perese,NA
kew24,1,NA,
kferris10,1,Kevin Ferris,NA
kirillseva,2,Kirill Sevastyanenko,NA
KittJonathan,15,Jonathan Kitt,NA
kleintom,1,Tom Klein,
koalabearski,1,NA,NA
krlmlr,1,Kirill Müller,NA
ktang,1,Kai Tang (唐恺),https://www.linkedin.com/in/kai-tang-0508/
kucharsky,1,Rafał Kucharski,NA
kwstat,1,Kevin Wright,NA
landesbergn,1,Noah Landesberg,noahlandesberg.com
lawwu,1,Lawrence Wu,NA
Layalchristine24,2,Layal Christine Lettry,https://lclettry.com
leorjorge,1,Leonardo R. Jorge,
leovuong,2,Luong Vuong (Leo),https://www.linkedin.com/in/my-luong-v-3a7161a3/
Lextuga007,1,Zoë Turner,https://philosopher-analyst.netlify.app/
lindbrook,1,NA,NA
lionel-,1,Lionel Henry,
lodagro,1,Wouter Overmeire,
lwjohnst86,2,Luke W Johnston,lukewjohnston.com
MarckK,1,Kara de la Marck,https://www.linkedin.com/in/karadelamarck
marwahaha,1,Kunal Marwaha,kunalmarwaha.com/about
matanhakim,1,Matan Hakim,NA
math-mcshane,1,Dr. Ryan McShane,ryanmcshane.com
MatthiasLiew,3,Matthias Liew,NA
MattTheCuber,1,Matthew Vine,
MattWittbrodt,1,Matt Wittbrodt,mattwittbrodt.com
maurolepore,2,Mauro Lepore,https://fgeo.netlify.com/
mbeveridge,7,Mark Beveridge,https://twitter.com/mbeveridge
mcewenkhundi,1,NA,NA
mcsnowface,6,"mcsnowface, PhD",NA
mdavis-xyz,3,Matthew Davis,https://www.mdavis.xyz
mfherman,1,Matt Herman,mattherman.info
mghaight,1,Mackenzie Haight,
michaelboerman,1,Michael Boerman,https://michaelboerman.com
michaelgrund,4,Michael Grund,
mine-cetinkaya-rundel,229,Mine Cetinkaya-Rundel,https://stat.duke.edu/~mc301
mitsuoxv,50,Mitsuo Shiota,https://mitsuoxv.rbind.io/
mjhendrickson,1,Matthew Hendrickson,https://about.me/matthew.j.hendrickson
MJMarshall,2,NA,NA
mkfin7,1,Misty Knight-Finley,NA
mmhamdy,1,Mohammed Hamdy,NA
mnazarov,1,Maxim Nazarov,NA
mpaulacaldas,4,Maria Paula Caldas,mpaulacaldas.com
mustafaascha,1,Mustafa Ascha,NA
nareal,1,Nelson Areal,nelsonareal.net
nate-d-olson,1,Nate Olson,NA
nateaff,1,Nathanael,nateaff.com
nattalides,1,NA,NA
ndrscalia,1,Andrea Scalia,
NedJWestern,1,Ned Western,NA
nickclark1000,1,Nick Clark,NA
nickelas,1,NA,NA
nirmalpatel,2,Nirmal Patel,http://playpowerlabs.com
nischalshrestha,1,Nischal Shrestha,http://nischalshrestha.me
njtierney,1,Nicholas Tierney,http://www.njtierney.com
Nowosad,6,Jakub Nowosad,https://nowosad.github.io
nstjhp,1,Nick Pullen,NA
olivier6088,1,NA,NA
oliviercailloux,1,Olivier Cailloux,https://www.lamsade.dauphine.fr/~ocailloux/
olivroy,1,NA,
p0bs,1,Robin Penfold,p0bs.com
pabloedug,3,Pablo E. Garcia,NA
padamson,1,Paul Adamson,padamson.github.io
PashaMS,1,Pasha,https://www.linkedin.com/in/pashaforoudi/
penelopeysm,1,Penelope Y,NA
peterhurford,1,Peter Hurford,http://www.peterhurford.com
petzi53,14,Peter Baumgartner,https://notes.peter-baumgartner.net/
pkq,4,Patrick Kennedy,NA
pooyataher,1,Pooya Taherkhani,https://gitlab.com/pooyat
PursuitOfDataScience,14,Y. Yu,https://youzhi.netlify.app/
radugrosu,10,Radu Grosu,radugrosu.com
raffaem,2,Raffaele Mancuso,https://raffaem.github.io
Ranae,2,Ranae Dietzel,ranae.github.io
rastrau,2,Ralph Straumann,https://ralphstraumann.ch
raynamharris,1,Rayna M Harris,https://www.raynamharris.com
ReeceGoding,1,NA,NA
rgertenbach,1,Robin Gertenbach,NA
RIngyao,1,Jajo,NA
rivaquiroga,1,Riva Quiroga,https://rivaquiroga.cl/
RJHKnight,1,Richard Knight,NA
rlzijdeman,2,Richard Zijdeman,NA
robertchu03,1,NA,NA
RobinKohrs,1,Robin Kohrs,https://quarantino.netlify.app/
Robinlovelace,2,Robin,http://robinlovelace.net
robinsones,1,Emily Robinson,robinsones.github.io
robtenorio,1,Rob Tenorio,NA
RodAli,1,Rod Mazloomi,NA
RohanAlexander,5,Rohan Alexander,https://www.rohanalexander.com/
RomeroBarata,1,Romero Morais,NA
rudeboybert,1,Albert Y. Kim,http://rudeboybert.rbind.io/
saghirb,3,Saghir,http://www.ilustat.com
salmasian,1,Hojjat Salmasian,NA
sauercrowd,1,Jonas,https://blog.sauercrowdlabs.xyz
sciencificity,3,Vebash Naidoo,https://sciencificity-blog.netlify.app/
seamus-mckinsey,4,Seamus McKinsey,NA
seanpwilliams,1,NA,NA
seasmith,1,Luke Smith,https://seasmith.github.io
sedaghatfar,3,Matthew Sedaghatfar,NA
sekR4,1,Sebastian Kraus,https://www.linkedin.com/in/sebastiankrausjena
sfirke,1,Sam Firke,samfirke.com
ShanEllis,1,Shannon Ellis,shanellis.com
shleeneu,1,NA,
shoili,1,NA,shoili.github.io
Shurakai,2,Christian Heinrich,NA
sibusiso16,52,S'busiso Mkhondwane,NA
sm-raiyyan,1,SM Raiyyan,NA
sonicdoe,11,Jakob Krigovsky,https://sonicdoe.com
stephan-koenig,3,Stephan Koenig,stephankoenig.me
stephenbalogun,6,Stephen Balogun,https://stephenbalogun.github.io/stbalogun/
StevenMMortimer,1,Steven M. Mortimer,https://stevenmortimer.com
stevenprimeaux,3,Steven Primeaux,
stragu,4,Stéphane Guillou,https://stragu.github.io/
sulgik,2,Sulgi Kim,NA
svenski,1,Sergiusz Bleja,NA
talgalili,1,Tal Galili,https://www.r-statistics.com
tappek,1,Kevin Tappe,
Taurenamo,1,Alec Fisher,NA
tgerarden,1,Todd Gerarden,http://toddgerarden.com
thisisnic,1,Nic Crane,niccrane.com
thomasggodfrey,1,Tom Godfrey,NA
timbroderick,1,Tim Broderick,http://www.timbroderick.net
timwaterhouse,1,Tim Waterhouse,NA
tjmahr,1,TJ Mahr,tjmahr.com
tklebel,4,Thomas Klebel,https://thomasklebel.eu
tomjamesprior,1,Tom Prior,NA
tteo,4,Terence Teo,tteo.github.io
twgardner2,1,NA,NA
ulyngs,4,Ulrik Lyngs,www.ulriklyngs.com
uribo,1,Shinya Uryu,https://uribo.hatenablog.com
vanderlindenma,1,Martin Van der Linden,NA
waltersom,1,Walter Somerville,NA
werkstattcodes,1,NA,http://werk.statt.codes
wibeasley,2,Will Beasley,http://scholar.google.com/citations?user=ffsJTC0AAAAJ&hl=en
yihui,4,Yihui Xie,https://yihui.name
yimingli,3,Yiming (Paul) Li,https://yimingli.net
yingxingwu,1,NA,NA
ynsec37,1,Enki Wang,
yutannihilation,1,Hiroaki Yutani,https://twitter.com/yutannihilation
yuyu-aung,1,Yu Yu Aung,NA
yvonnefroehlich,6,Yvonne Fröhlich,
yyzeng,2,Yongyi Zeng,
zachbogart,1,Zach Bogart,zachbogart.com
zeal626,1,NA,NA
zekiakyol,16,Zeki Akyol,zekiakyol.com
